faculty	faculty_id	group_name	course	speciality	speciality_code_1			speciality_code_3		speciality_code_2	comments
БФ	1	102	1	Теология	031901	очная	специалист	65			
БФ	1	111	1	Теология	031901	очная	бакалавр	62			
БФ	1	112	1	Теология	031901	очная	бакалавр	62			
БФ	1	113	1	Теология	031901	очная	бакалавр	62			
БФ	1	114	1	Теология	031901	очная	бакалавр	62			
БФ	1	115	1	Религиоведение	031800	очная	бакалавр	62			
БФ	1	116	1	Религиоведение	031800	очная	бакалавр	62			
БФ	1	202	2	Теология	031901	очная	специалист	65			
БФ	1	211	2	Теология	031901	очная	бакалавр	62			
БФ	1	212	2	Теология	031901	очная	бакалавр	62			
БФ	1	213	2	Теология	031901	очная	бакалавр	62			
БФ	1	214	2	Теология	031901	очная	бакалавр	62			
БФ	1	215	2	Религиоведение	031800	очная	бакалавр	62			
БФ	1	302	3	Теология	031901	очная	специалист	65			
БФ	1	311	3	Теология	031901	очная	бакалавр	62			
БФ	1	313	3	Теология	031901	очная	бакалавр	62			
БФ	1	411	4	Теология	031901	очная	бакалавр	62			
БФ	1	412	4	Теология	031901	очная	бакалавр	62			
БФ	1	413	4	Теология	031901	очная	бакалавр	62			
БФ	1	511	5	Теология	031901	очная	магистр	68			
БФ	1	512	5	Теология	031901	очная	магистр	68			
БФ	1	515	5	Религиоведение	031800	очная	магистр	68			
БФ	1	611	6	Теология	031901	очная	магистр	68			
БФ	1	615	6	Религиоведение	031800	очная	магистр	68			
БФ	1	117	1	Теология	031901	очно-заочная	специалист	65			
БФ	1	118	1	Теология	031901	очно-заочная	специалист	65			
БФ	1	217	2	Теология	031901	очно-заочная	специалист	65			
БФ	1	218	2	Теология	031901	очно-заочная	специалист	65			
БФ	1	317	3	Теология	031901	очно-заочная	специалист	65			
БФ	1	318	3	Теология	031901	очно-заочная	специалист	65			
БФ	1	417	4	Теология	031901	очно-заочная	специалист	65			
БФ	1	418	4	Теология	031901	очно-заочная	специалист	65			
БФ	1	517	5	Теология	031901	очно-заочная	специалист	65			
БФ	1	518	5	Теология	031901	очно-заочная	специалист	65			
БФ	1	617	6	Теология	031901	очно-заочная	специалист	65			
БФ	1	718	7	Теология	031901	очно-заочная	магистр	68			
МФ	2	141	1	Религиоведение	031800	очная	специалист	65			
МФ	2	142	1	Религиоведение	031800	очная	специалист	65			
МФ	2	241	2	Религиоведение	031800	очная	специалист	65			
МФ	2	241А	2	Религиоведение	031800	очная	специалист	65			
МФ	2	242	2	Религиоведение	031800	очная	специалист	65			
МФ	2	341	3	Религиоведение	031800	очная	специалист	65			
МФ	2	341А	3	Религиоведение	031800	очная	специалист	65			
МФ	2	441	4	Религиоведение	031800	очная	специалист	65			
МФ	2	441А	4	Религиоведение	031800	очная	специалист	65			
МФ	2	541	5	Религиоведение	031800	очная	специалист	65			
МФ	2	143	1	Культурология	031401	очная	специалист	65			
МФ	2	243	2	Культурология	031401	очная	специалист	65			
МФ	2	343	3	Культурология	031401	очная	специалист	65			
МФ	2	443	4	Культурология	031401	очная	специалист	65			
МФ	2	147	1	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	148	1	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	247	2	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	248	2	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	347	3	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	348	3	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	447	4	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	448	4	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	547	5	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	548	5	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	647	6	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	648	6	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	649	6	Религиоведение	031800	очно-заочная	специалист	65			
МФ	2	246	2	Культурология	031401	очно-заочная	специалист	65			слушатели
МФ	2	346	3	Культурология	031401	очно-заочная	специалист	65			слушатели
МФ	2	446	4	Культурология	031401	очно-заочная	специалист	65			слушатели
ПФ	3	161	1	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	162	1	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	169	1	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	261	2	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	262	2	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	269	2	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	361	3	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	362	3	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	461	4	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	561	5	Педагогика и методика начального образования	050708	очная	специалист	65			
ПФ	3	167	1	Социальная педагогика	050711	очно-заочная	специалист	65			
