WARNING! Course mismatch: 1 for 
WARNING! Course mismatch: 1 for 204
WARNING! Course mismatch: 5 for 
WARNING! Course mismatch: 5 for 105
WARNING! Course mismatch: 5 for 145
WARNING! Course mismatch: 6 for 
WARNING! Course mismatch: 6 for 205
WARNING! Course mismatch: 6 for 245
WARNING! Department number mismatch: 1 for 
WARNING! Department number mismatch: 1 for 101н
WARNING! Department number mismatch: 1 for 101ф
WARNING! Department number mismatch: 1 for 102а
WARNING! Department number mismatch: 1 for 102ф
WARNING! Department number mismatch: 1 for 103а
WARNING! Department number mismatch: 1 for 104
WARNING! Department number mismatch: 1 for 105
WARNING! Department number mismatch: 1 for 161
WARNING! Department number mismatch: 1 for 162
WARNING! Department number mismatch: 1 for 201а
WARNING! Department number mismatch: 1 for 201ф
WARNING! Department number mismatch: 1 for 202н
WARNING! Department number mismatch: 1 for 203а
WARNING! Department number mismatch: 1 for 204
WARNING! Department number mismatch: 1 for 204а
WARNING! Department number mismatch: 1 for 205
WARNING! Department number mismatch: 1 for 261
WARNING! Department number mismatch: 1 for 262
WARNING! Department number mismatch: 1 for 301а
WARNING! Department number mismatch: 1 for 301ф
WARNING! Department number mismatch: 1 for 302а
WARNING! Department number mismatch: 1 for 303а
WARNING! Department number mismatch: 1 for 304
WARNING! Department number mismatch: 1 for 304а
WARNING! Department number mismatch: 1 for 305
WARNING! Department number mismatch: 1 for 361
WARNING! Department number mismatch: 1 for 362
WARNING! Department number mismatch: 1 for 401
WARNING! Department number mismatch: 1 for 401а
WARNING! Department number mismatch: 1 for 401ф
WARNING! Department number mismatch: 1 for 402
WARNING! Department number mismatch: 1 for 402а
WARNING! Department number mismatch: 1 for 404
WARNING! Department number mismatch: 1 for 501а
WARNING! Department number mismatch: 1 for 502а
WARNING! Department number mismatch: 1 for 504
WARNING! Department number mismatch: 1 for 505
WARNING! Department number mismatch: 2 for 
WARNING! Department number mismatch: 2 for 101
WARNING! Department number mismatch: 2 for 101а
WARNING! Department number mismatch: 2 for 102
WARNING! Department number mismatch: 2 for 102а
WARNING! Department number mismatch: 2 for 103
WARNING! Department number mismatch: 2 for 201
WARNING! Department number mismatch: 2 for 201а
WARNING! Department number mismatch: 2 for 202
WARNING! Department number mismatch: 2 for 202а
WARNING! Department number mismatch: 2 for 203
WARNING! Department number mismatch: 2 for 203а
WARNING! Department number mismatch: 2 for 204
WARNING! Department number mismatch: 2 for 205а
WARNING! Department number mismatch: 2 for 301
WARNING! Department number mismatch: 2 for 301а
WARNING! Department number mismatch: 2 for 302
WARNING! Department number mismatch: 2 for 302а
WARNING! Department number mismatch: 2 for 303
WARNING! Department number mismatch: 2 for 303а
WARNING! Department number mismatch: 2 for 304н
WARNING! Department number mismatch: 2 for 401
WARNING! Department number mismatch: 2 for 401а
WARNING! Department number mismatch: 2 for 402
WARNING! Department number mismatch: 2 for 402а
WARNING! Department number mismatch: 2 for 403
WARNING! Department number mismatch: 2 for 403а
WARNING! Department number mismatch: 2 for 404а
WARNING! Department number mismatch: 2 for 414
WARNING! Department number mismatch: 2 for 415
WARNING! Department number mismatch: 2 for 416
WARNING! Department number mismatch: 2 for 501
WARNING! Department number mismatch: 2 for 501н
WARNING! Department number mismatch: 2 for 501ф
WARNING! Department number mismatch: 2 for 502
WARNING! Department number mismatch: 2 for 502а
WARNING! Department number mismatch: 2 for 503
WARNING! Department number mismatch: 3 for 
WARNING! Department number mismatch: 3 for 101
WARNING! Department number mismatch: 3 for 102
WARNING! Department number mismatch: 3 for 103
WARNING! Department number mismatch: 3 for 104
WARNING! Department number mismatch: 3 for 105
WARNING! Department number mismatch: 3 for 181
WARNING! Department number mismatch: 3 for 182
WARNING! Department number mismatch: 3 for 201
WARNING! Department number mismatch: 3 for 202
WARNING! Department number mismatch: 3 for 203
WARNING! Department number mismatch: 3 for 204
WARNING! Department number mismatch: 3 for 205
WARNING! Department number mismatch: 3 for 281
WARNING! Department number mismatch: 3 for 282
WARNING! Department number mismatch: 3 for 301
WARNING! Department number mismatch: 3 for 302
WARNING! Department number mismatch: 3 for 303
WARNING! Department number mismatch: 3 for 304
WARNING! Department number mismatch: 3 for 305
WARNING! Department number mismatch: 3 for 381
WARNING! Department number mismatch: 3 for 382
WARNING! Department number mismatch: 3 for 401
WARNING! Department number mismatch: 3 for 402
WARNING! Department number mismatch: 3 for 403
WARNING! Department number mismatch: 3 for 404
WARNING! Department number mismatch: 3 for 405
WARNING! Department number mismatch: 3 for 417
WARNING! Department number mismatch: 3 for 418
WARNING! Department number mismatch: 3 for 481
WARNING! Department number mismatch: 3 for 482
WARNING! Department number mismatch: 3 for 483
WARNING! Department number mismatch: 3 for 501
WARNING! Department number mismatch: 3 for 502
WARNING! Department number mismatch: 3 for 503
WARNING! Department number mismatch: 3 for 504
WARNING! Department number mismatch: 3 for 505
WARNING! Department number mismatch: 3 for 507
WARNING! Department number mismatch: 3 for 581
WARNING! Department number mismatch: 3 for 582
WARNING! Department number mismatch: 3 for 583
WARNING! Department number mismatch: 3 for 681
WARNING! Department number mismatch: 3 for 682
WARNING! Department number mismatch: 4 for 101
WARNING! Department number mismatch: 4 for 102
WARNING! Department number mismatch: 4 for 103
WARNING! Department number mismatch: 4 for 104
WARNING! Department number mismatch: 4 for 105
WARNING! Department number mismatch: 4 for 106
WARNING! Department number mismatch: 4 for 201
WARNING! Department number mismatch: 4 for 202
WARNING! Department number mismatch: 4 for 203
WARNING! Department number mismatch: 4 for 204
WARNING! Department number mismatch: 4 for 301
WARNING! Department number mismatch: 4 for 302
WARNING! Department number mismatch: 4 for 303
WARNING! Department number mismatch: 4 for 304
WARNING! Department number mismatch: 4 for 305
WARNING! Department number mismatch: 4 for 401
WARNING! Department number mismatch: 4 for 402
WARNING! Department number mismatch: 4 for 403
WARNING! Department number mismatch: 4 for 404
WARNING! Department number mismatch: 4 for 501
WARNING! Department number mismatch: 4 for 502
WARNING! Department number mismatch: 4 for 503
WARNING! Department number mismatch: 5 for 101
WARNING! Department number mismatch: 5 for 102
WARNING! Department number mismatch: 5 for 103
WARNING! Department number mismatch: 5 for 104
WARNING! Department number mismatch: 5 for 106
WARNING! Department number mismatch: 5 for 107
WARNING! Department number mismatch: 5 for 108
WARNING! Department number mismatch: 5 for 201
WARNING! Department number mismatch: 5 for 201А
WARNING! Department number mismatch: 5 for 202
WARNING! Department number mismatch: 5 for 203
WARNING! Department number mismatch: 5 for 206
WARNING! Department number mismatch: 5 for 207
WARNING! Department number mismatch: 5 for 208
WARNING! Department number mismatch: 5 for 301
WARNING! Department number mismatch: 5 for 302
WARNING! Department number mismatch: 5 for 303
WARNING! Department number mismatch: 5 for 306
WARNING! Department number mismatch: 5 for 307
WARNING! Department number mismatch: 5 for 308
WARNING! Department number mismatch: 5 for 401
WARNING! Department number mismatch: 5 for 402
WARNING! Department number mismatch: 5 for 403
WARNING! Department number mismatch: 5 for 403A
WARNING! Department number mismatch: 5 for 406
WARNING! Department number mismatch: 5 for 407
WARNING! Department number mismatch: 5 for 408
WARNING! Department number mismatch: 5 for 501
WARNING! Department number mismatch: 5 for 502
WARNING! Department number mismatch: 5 for 503
WARNING! Department number mismatch: 5 for 504
WARNING! Department number mismatch: 5 for 506
WARNING! Department number mismatch: 5 for 507
WARNING! Department number mismatch: 5 for 508
WARNING! Department number mismatch: 6 for 105
WARNING! Department number mismatch: 6 for 106
WARNING! Department number mismatch: 6 for 107
WARNING! Department number mismatch: 6 for 109
WARNING! Department number mismatch: 6 for 171
WARNING! Department number mismatch: 6 for 172
WARNING! Department number mismatch: 6 for 173
WARNING! Department number mismatch: 6 for 204
WARNING! Department number mismatch: 6 for 205
WARNING! Department number mismatch: 6 for 206
WARNING! Department number mismatch: 6 for 209
WARNING! Department number mismatch: 6 for 271
WARNING! Department number mismatch: 6 for 272
WARNING! Department number mismatch: 6 for 273
WARNING! Department number mismatch: 6 for 304
WARNING! Department number mismatch: 6 for 305
WARNING! Department number mismatch: 6 for 306
WARNING! Department number mismatch: 6 for 309
WARNING! Department number mismatch: 6 for 371
WARNING! Department number mismatch: 6 for 372
WARNING! Department number mismatch: 6 for 373
WARNING! Department number mismatch: 6 for 374
WARNING! Department number mismatch: 6 for 402
WARNING! Department number mismatch: 6 for 403
WARNING! Department number mismatch: 6 for 404
WARNING! Department number mismatch: 6 for 405
WARNING! Department number mismatch: 6 for 406
WARNING! Department number mismatch: 6 for 501
WARNING! Department number mismatch: 6 for 502
WARNING! Department number mismatch: 6 for 503
WARNING! Department number mismatch: 6 for 505
WARNING! Department number mismatch: 6 for 506
WARNING! Department number mismatch: 6 for 507
WARNING! Department number mismatch: 7 for 
WARNING! Department number mismatch: 7 for 108
WARNING! Department number mismatch: 7 for 109
WARNING! Department number mismatch: 7 for 110
WARNING! Department number mismatch: 7 for 161
WARNING! Department number mismatch: 7 for 162
WARNING! Department number mismatch: 7 for 163
WARNING! Department number mismatch: 7 for 164
WARNING! Department number mismatch: 7 for 207
WARNING! Department number mismatch: 7 for 208
WARNING! Department number mismatch: 7 for 209
