Реестр образовательных программ и соответствующая им структура учебных групп факультета "АК" МГТУ им. Н.Э. Баумана
Кафедра "АК-1"
Группа | ОКСО | Специализация | Квалификация 
АК1-11 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-21 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-31 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-41 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-51 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-61 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-71 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-81 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-91 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-101 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-111 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
АК1-121 | 160802 - Космические летательные аппараты и разгонные блоки | 11 - Проектный менеджмент и маркетинг аэрокосмической техники | 65 - Инженер
Кафедра "АК-2"
Группа | ОКСО | Специализация | Квалификация 
АК2-11 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-21 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-31 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-41 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-51 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-61 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-71 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-81 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-91 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-101 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-111 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
АК2-121 | 160801 - Ракетостроение | 12 - Аэрокосмические системы и крылатые ракеты | 65 - Инженер
Кафедра "АК-3"
Группа | ОКСО | Специализация | Квалификация 
АК3-11 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-21 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-31 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-41 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-51 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-61 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-71 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-81 | 230401 - Прикладная математика | 00 -  | 65 - Инженер-математик
АК3-91 | 230401 - Прикладная математика | 01 -  | 65 - Инженер-математик
АК3-101 | 230401 - Прикладная математика | 01 -  | 65 - Инженер-математик
АК3-111 | 230401 - Прикладная математика | 01 -  | 65 - Инженер-математик
АК3-121 | 230401 - Прикладная математика | 01 -  | 65 - Инженер-математик
Кафедра "АК-4"
Группа | ОКСО | Специализация | Квалификация 
АК4-11 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-21 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-31 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-41 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-51 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-61 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-71 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-81 | 160403 - Системы управления летательными аппаратами | 00 -  | 65 - Инженер
АК4-91 | 160403 - Системы управления летательными аппаратами | 17 -  | 65 - Инженер
АК4-101 | 160403 - Системы управления летательными аппаратами | 17 -  | 65 - Инженер
АК4-111 | 160403 - Системы управления летательными аппаратами | 17 -  | 65 - Инженер
АК4-121 | 160403 - Системы управления летательными аппаратами | 17 -  | 65 - Инженер
Кафедра "АК-5"
Группа | ОКСО | Специализация | Квалификация 
АК5-11 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
АК5-21 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
АК5-31 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
АК5-41 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
АК5-51 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
АК5-61 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
АК5-71 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
АК5-81 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
